code_com,code_reg,code_dept,code_arr,lib_com,lib_arr,lib_dept,lib_reg,gridens7,p_pop,superf_choro,gare_tgv,nb_actes_france_renov,friches,ecoquartiers,part_actifs,part_inactifs,med_disp,part_residences_secondaires,part_trajets_voiture,com_variation_encours_dette_ha_pct,dependance_eco,abstention_municipales,taux_creation_ent,total_entreprises,part_licencies_sportifs,CSP_maire,climat,emissions_ges,beneficiaire_prog,part_jeunes_sans_diplome,etab_industrie,etab_construction,etab_CTHR,etab_IC,etab_AFA,etab_AI,etab_ASTSA,etab_APESAS,etab_AAS,etab_tourisme,eolienne_PE_kw,nbr_eolienne,hydroelectrique_PE_kw,nbr_instal_hydroelec,photovoltaique_PE_kw,nbr_inst_sol_photovoltaique,fossile_PE_kw,fossile_PT_kw,nbr_inst_fossile,incinerateur_PE_kw,incinerateur_PT_kw,nbr_incinerateur,chaufferie_bois_PE_kw,chaufferie_bois_PT_kw,nbr_chaufferie_bois,methaniseur_PE_kw,methaniseur_PT_kw,nbr_unite_methaniseur,taux_conformite_bact,taux_conformite_chim,MC_industrie_mwh,MC_agricole_mwh,MC_tertiaire_mwh,MC_residentiel_mwh,MC_totale_mwh,cp_AF,ae_AF,cp_AGTE,ae_AGTE,cp_AAFAR,ae_AAFAR,cp_APD,ae_APD,cp_culture,ae_culture,cp_economie,ae_economie,cp_DAG,ae_DAG,cp_ES,ae_ES,cp_GFP,ae_GFP,cp_IAI,ae_IAI,cp_justice,ae_justice,cp_MLIC,ae_MLIC,cp_PR,ae_PR,cp_RES,ae_RES,cp_RCT,ae_RCT,cp_RD,ae_RD,cp_securites,ae_securites,cp_SIEC,ae_SIEC,cp_SJVA,ae_SJVA,cp_EDMD,ae_EDMD,cp_TEAMS,ae_TEAMS,cp_TFP,ae_TFP,cp_CT,ae_CT,cp_GPIE,ae_GPIE,cp_CCSR,ae_CCSR,taux_subvention,autres_benef_collectivite,autres_benef_entreprise,autres_benef_etat,autres_benef_association
22001,53.0,22,224,Allineuc,Saint-Brieuc,Côtes-d'Armor,Bretagne,7,596.0,24.1,0,6.0,2.0,0.0,281,76,20300.0,12.0,85.7,2.6,107.0,17.4,21.2,33.0,144,12,0,15634.38,0,9.1,2,2,8,0,1,10,4,2,4,0.0,0.0,0.0,0.0,0.0,1830.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.76,5.857,187.053,113.32000000000001,5.026,4126.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369288.0,1230948.0,1576228.0799999998,1576228.0799999998,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35368.0,35368.0,0.16,2.0,33.0,0.0,0.0
22002,53.0,22,224,Andel,Saint-Brieuc,Côtes-d'Armor,Bretagne,5,1156.0,12.2,0,0.0,0.0,0.0,584,128,23570.0,2.0,90.1,-28.7,96.0,53.8,37.3,51.0,280,15,0,8233.54,0,3.9,6,4,12,0,3,9,5,7,5,0.0,0.0,0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,360.0,1.0,1.0,1.0,292.778,193.8,123.678,5.726,5701.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3240000.0,1160542.5999999999,1160542.5999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56081.549999999996,56081.549999999996,0.0,0.0,0.0,0.0,0.08,1.0,16.0,0.0,0.0
22003,53.0,22,221,Aucaleuc,Dinan,Côtes-d'Armor,Bretagne,6,929.0,6.4,0,8.0,0.0,0.0,453,133,21780.0,3.4,91.3,206.0,113.0,53.7,20.0,40.0,354,12,0,6175.22,0,0.0,0,7,12,0,4,2,9,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26.561,0.0,1861.330535,12.07095435897436,4982.627,0.0,0.0,234850.0,939400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8085.0,8085.0,0.0,0.0,0.0,0.0,3720.0,-17205.0,0.0,0.0,0.0,0.0,0.0,0.0,3369600.0,3369600.0,50265.6,50265.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,0.0,3.0
22004,53.0,22,222,Bégard,Guingamp,Côtes-d'Armor,Bretagne,5,4839.0,36.4,0,4.0,6.0,0.0,1962,834,21020.0,5.5,88.5,7.0,126.0,44.8,16.0,281.0,978,27,0,30835.24,0,12.4,16,31,76,3,11,19,37,58,30,0.0,0.0,0.0,0.0,0.0,203.0,2.0,4160.0,4680.0,1.0,0.0,0.0,0.0,0.0,1800.0,1.0,0.0,0.0,1.0,1.0,1.0,2096.40161,264.87777,4296.855785777778,14.8942771981777,32948.57484,0.0,0.0,0.0,0.0,8111022.56,8801022.56,0.0,0.0,76000.0,76000.0,0.0,0.0,0.0,0.0,1231657.12,1231657.12,936.0,-711.0,0.0,0.0,109979.03999999998,109979.03999999998,0.0,0.0,0.0,0.0,0.0,0.0,7968636.0,10683144.0,1047384.24,1047384.24,17598.329999999998,17598.329999999998,168000.0,168000.0,96946.0,96946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,14.0,37.0,0.0,8.0
22005,53.0,22,222,Belle-Isle-en-Terre,Guingamp,Côtes-d'Armor,Bretagne,5,1030.0,14.1,0,1.0,3.0,0.0,437,146,18770.0,16.4,79.2,-25.4,140.0,22.9,25.0,76.0,229,15,0,7395.71,0,2.9,8,6,24,0,5,1,8,14,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1.0,0.0,0.0,0.0,1.0,0.9,389.323,81.463,529.544,4.708,5061.564,0.0,0.0,0.0,0.0,387800.0,387800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144378.0,144378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251980.0,251980.0,0.0,0.0,3252456.0,3252456.0,211081.91999999998,211081.91999999998,9767.0,9767.0,0.0,0.0,3000.0,3000.0,683000.0,-464200.0,0.0,0.0,0.0,0.0,3325000.0,3325000.0,0.0,0.0,0.0,0.0,0.36,10.0,6.0,0.0,6.0
22006,53.0,22,223,Berhet,Lannion,Côtes-d'Armor,Bretagne,6,273.0,3.2,0,0.0,1.0,0.0,129,39,19460.0,14.6,95.8,85.9,123.0,36.0,0.0,10.0,40,11,0,2790.02,0,12.5,0,1,1,1,0,2,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,27.157,4.257,5.074,951.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219211.72,219211.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32238.0,32238.0,0.08,1.0,5.0,0.0,0.0
22008,53.0,22,221,Bobital,Dinan,Côtes-d'Armor,Bretagne,5,1139.0,5.0,0,11.0,1.0,0.0,508,164,22640.0,5.3,95.8,-6.2,126.0,53.5,25.4,59.0,277,15,0,4730.17,0,10.3,5,16,7,1,8,2,7,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8709677419354839,17.251,0.0,650.937,6.288,5640.5289999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128456.0,1128456.0,119301.0,119301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.0,2.0,0.0,0.0
22009,53.0,22,224,Le Bodéo,Saint-Brieuc,Côtes-d'Armor,Bretagne,7,170.0,10.0,0,0.0,0.0,0.0,72,23,18080.0,21.3,90.9,-43.0,119.0,33.3,0.0,7.0,28,9,0,4867.93,0,37.5,1,2,2,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,84.411,0.0,5.049,913.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504576.0,504576.0,442051.39999999997,442051.39999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.0,4.0,0.0,0.0
22011,53.0,22,222,Boqueho,Guingamp,Côtes-d'Armor,Bretagne,6,1056.0,27.1,0,2.0,0.0,0.0,499,135,21140.0,3.8,94.1,-9999.0,106.0,26.5,18.2,44.0,253,15,0,8854.74,0,3.0,5,6,9,0,3,6,2,5,8,0.0,4000.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,88.171,124.821,94.75699999999999,6.113,4260.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710064.0,127332.0,779605.6800000002,779605.6800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.0,17.0,0.0,0.0
22012,53.0,22,224,La Bouillie,Saint-Brieuc,Côtes-d'Armor,Bretagne,6,865.0,10.9,0,3.0,1.0,0.0,389,126,21820.0,14.2,89.0,-35.7,128.0,40.2,8.3,48.0,229,15,0,6995.87,0,6.1,5,13,6,1,3,5,8,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,43.492,150.19299999999998,11.854,5.637,3838.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58751.7,50001.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264260.08,264260.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,6.0,0.0,10.0
