code_com,filiere,lambert_x,lambert_y
22001,Installation solaire photovoltaïque,"263813,74","6816619,89"
22001,Installation solaire photovoltaïque,"265224,00","6817868,00"
22002,Installation solaire photovoltaïque,"289947,30","6835847,05"
22002,Unité de méthanisation,"289376,77","6836586,05"
22004,Chaufferie bois,"236355,00","6855138,00"
22004,Installation fossile,"234183,65","6856491,22"
22004,Installation solaire photovoltaïque,"236879,75","6855854,20"
22004,Installation solaire photovoltaïque,"237330,00","6857321,00"
22004,Unité de méthanisation,"235950,96","6856442,22"
22005,Chaufferie bois,"228421,00","6846260,00"
22009,Installation solaire photovoltaïque,"259644,00","6818850,00"
22011,Eolienne,"257454,30","6837669,50"
22011,Eolienne,"257569,38","6837469,50"
22011,Installation solaire photovoltaïque,"257953,30","6835211,30"
22013,Chaufferie bois,"242300,00","6836473,00"
22013,Eolienne,"237415,60","6835588,50"
22013,Eolienne,"237750,95","6835509,50"
22013,Eolienne,"238096,80","6835041,00"
22013,Eolienne,"238215,42","6835479,00"
22013,Eolienne,"238373,60","6835943,50"
22013,Eolienne,"238456,44","6835216,50"
22013,Eolienne,"238588,70","6835681,50"
22013,Eolienne,"239392,00","6840348,00"
22013,Eolienne,"239478,00","6840689,00"
22013,Eolienne,"239771,00","6840312,00"
22013,Installation solaire photovoltaïque,"237858,00","6835595,00"
22013,Installation solaire photovoltaïque,"244419,00","6834956,00"
22014,Installation solaire photovoltaïque,"311044,00","6832107,00"
22015,Installation solaire photovoltaïque,"285591,00","6825493,00"
22015,Installation solaire photovoltaïque,"285746,00","6822452,00"
22015,Installation solaire photovoltaïque,"285746,00","6822652,00"
22015,Installation solaire photovoltaïque,"286314,00","6824525,00"
22015,Installation solaire photovoltaïque,"286446,40","6825199,70"
22019,Chaufferie bois,"257260,00","6848514,00"
22019,Installation solaire photovoltaïque,"256372,00","6847277,00"
22019,Installation solaire photovoltaïque,"257183,00","6846703,00"
22019,Unité de méthanisation,"258541,90","6847003,97"
22020,Eolienne,"313447,51","6815459,51"
22020,Eolienne,"313724,00","6815133,00"
22020,Eolienne,"314227,00","6815230,00"
22020,Eolienne,"314284,00","6816373,00"
22020,Eolienne,"314320,00","6815971,00"
22020,Installation solaire photovoltaïque,"311666,80","6814268,40"
22020,Installation solaire photovoltaïque,"313503,00","6814676,00"
22020,Unité de méthanisation,"311654,46","6814546,73"
